text,label,confidence,reason
At 37! He’s been in the league since 20 freakin’ 04. It really is a testament to how hard it is to be a good NFL QB. College superstars get drafted every year and fizzle out in the league. While Brees and Brady and Rivers are among the oldest and still at the top.,analysis,flagged,analysis boundary sample for human review
The ump should've called a balk.,hot_take,flagged,hot_take boundary sample for human review
"Yes and if he did hit those speeds, he may be easier to dodge, as long as you have enough time to predict where he's going and you have enough speed. It's easy to hit someone when they're going slow, but if you're going too fast, you can't be as shifty. Plus he would get a charging penalty. McDavid is shifty enough at the right speed, and has hands that backs the defenseman up, rather than them trying to step on him.",analysis,flagged,analysis boundary sample for human review
"Man, I tried to join the Air Force after high school, but they made it pretty clear to me I needed to drop any dream of being a pilot or PJ. I was a vocational drafting/mechanical engineering and design student and that was what I'd be doing in the Air Force because it was too rare a skill for a young person to have not to take advantage of. A Marines recruiter in the office next door snickered ""Another one for the Chair Force!"" as he overheard the conversation. So I ended up backing out. I didn't really care if I had a non-combat MOS, but I honestly didn't even really like engineering. The thought of doing that instead of something more challenging was a real let down. Like 4 of my buddies did end up enlisting, so I was sad I didn't go with them, but they let me know I didn't miss much haha.",reaction,flagged,reaction boundary sample for human review
"Only 3 teams have won a superbowl with a defense ranked in the 20s. This is why the phrase ""defense wins championships"" is a thing. It might seem illogical, but it's demonstrated by empirical evidence. Teams with bad defenses don't win in the playoffs very often.",analysis,flagged,analysis boundary sample for human review
"Friction operates in both directions when you're running. The frictional force pushing forwards is greater than the frictional force pushing backwards, which is how you accelerate. If there was no friction in the opposite direction, then running records would be in the hundreds of miles per hour.",analysis,flagged,analysis boundary sample for human review
"Ratings are sky high due to NFL shootouts with very little defense. I think this has been the plan for a while and old school blood, sweat and tears football seems to be dying a quick death. And it’s not as if an enterprising coach can change strategy because the rules now dictate this style of play.",analysis,flagged,analysis boundary sample for human review
"Thanks, I’m not American so didn’t know the answer.",reaction,flagged,reaction boundary sample for human review
"I grew up in a navy family. Both my parents are navy vets. My brother has been in the army for 12 years. I know exactly what I’m talking about. He was an idiot, barely passed high school, and would have likely ended up in jail if not for the army getting him out of trouble when they wanted to send him to Iraq. Every guy I grew up with that went into the army was an absolute moron with nothing else going for them. Granted they all joined during the Iraq war when the army was desperate.",reaction,flagged,reaction boundary sample for human review
I would agree with the Chiefs. The other two have ok defenses which are inconsistent. Remember the Rams were just crushing it on Defense for the first half of the season. They're still pretty good despite the last two games. Saints have had subpar defense for the last couple of seasons but have stepped it up this season.,analysis,flagged,analysis boundary sample for human review
